CustomerID,Gender,SeniorCitizen,TenureMonths,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST100160,Male,1,63,Two year,Fiber optic,Mailed check,45.35,2894.89,No
CUST100161,Male,0,46,One year,DSL,Electronic check,53.09,2445.53,Yes
CUST100162,Female,0,3,One year,DSL,Bank transfer,46.98,140.01,Yes
CUST100163,Female,0,65,One year,No,Credit card,71.14,4642.54,No
CUST100164,Female,0,8,One year,DSL,Bank transfer,64.01,542.61,No
CUST100165,Male,1,51,Month-to-month,Fiber optic,Credit card,71.24,3682.78,No
CUST100166,Female,1,6,Month-to-month,Fiber optic,Electronic check,87.27,512.83,No
CUST100167,Male,0,39,Month-to-month,Fiber optic,Electronic check,58.71,2273.14,No
CUST100168,Male,0,60,One year,DSL,Bank transfer,45.13,2736.4,No
CUST100169,Female,0,28,Month-to-month,Fiber optic,Mailed check,36.62,1063.62,No
CUST100170,Female,0,54,One year,Fiber optic,Bank transfer,54.95,3006.54,No
CUST100171,Male,1,37,Month-to-month,Fiber optic,Bank transfer,94.18,3512.15,Yes
CUST100172,Male,0,9,One year,Fiber optic,Electronic check,95.67,907.81,Yes
CUST100173,Female,0,56,Month-to-month,Fiber optic,Credit card,86.69,4870.41,No
CUST100174,Female,0,59,One year,No,Bank transfer,43.4,2604.57,Yes
CUST100175,Female,0,2,Month-to-month,Fiber optic,Mailed check,78.81,205.37,Yes
CUST100176,Male,0,61,Month-to-month,Fiber optic,Electronic check,77.07,4740.57,No
CUST100177,Male,0,58,Month-to-month,No,Bank transfer,68.43,3970.62,No
CUST100178,Male,0,60,One year,Fiber optic,Bank transfer,75.0,4493.74,Yes
CUST100179,Male,0,40,Month-to-month,DSL,Mailed check,69.18,2785.57,No
CUST100180,Male,1,36,Month-to-month,DSL,Bank transfer,76.55,2767.51,No
CUST100181,Male,0,37,Two year,Fiber optic,Bank transfer,91.55,3428.79,No
CUST100182,Female,0,18,One year,Fiber optic,Bank transfer,30.96,544.28,No
CUST100183,Male,1,63,Two year,Fiber optic,Bank transfer,94.96,5980.52,No
CUST100184,Male,0,22,Month-to-month,Fiber optic,Mailed check,33.59,771.61,No
CUST100185,Male,1,11,Month-to-month,DSL,Bank transfer,26.66,279.91,Yes
CUST100186,Female,0,58,Two year,Fiber optic,Bank transfer,117.61,6823.83,No
CUST100187,Male,0,57,Month-to-month,DSL,Bank transfer,115.7,6602.0,No
CUST100188,Male,0,4,One year,Fiber optic,Electronic check,26.04,127.74,No
CUST100189,Female,0,7,Month-to-month,Fiber optic,Mailed check,64.33,441.38,No
CUST100190,Male,0,61,Month-to-month,Fiber optic,Electronic check,38.62,2396.06,Yes
CUST100191,Male,0,54,Month-to-month,Fiber optic,Electronic check,68.53,3711.95,No
CUST100192,Male,0,68,Month-to-month,Fiber optic,Mailed check,103.02,7049.55,Yes
CUST100193,Male,0,1,Month-to-month,Fiber optic,Electronic check,115.06,127.81,Yes
CUST100194,Male,0,55,Month-to-month,DSL,Electronic check,83.43,4587.9,Yes
CUST100195,Female,1,3,Two year,DSL,Electronic check,55.39,156.1,Yes
CUST100196,Female,1,38,Month-to-month,Fiber optic,Mailed check,80.33,3032.8,No
CUST100197,Female,1,1,One year,No,Bank transfer,51.2,68.45,Yes
CUST100198,Male,0,38,One year,Fiber optic,Credit card,110.98,4204.74,Yes
CUST100199,Male,0,29,Month-to-month,Fiber optic,Credit card,107.04,3111.58,No
CUST100200,Male,0,5,Month-to-month,DSL,Mailed check,75.82,400.35,Yes
CUST100201,Female,0,21,One year,Fiber optic,Credit card,52.48,1101.38,Yes
CUST100202,Male,0,71,One year,Fiber optic,Mailed check,49.34,3495.41,Yes
CUST100203,Male,0,67,One year,DSL,Mailed check,23.34,1598.01,Yes
CUST100204,Female,0,47,One year,DSL,Credit card,101.58,4820.54,Yes
CUST100205,Male,0,35,Two year,No,Electronic check,65.04,2263.43,Yes
CUST100206,Female,0,68,Month-to-month,DSL,Bank transfer,52.51,3561.57,No
CUST100207,Female,0,69,Month-to-month,DSL,Credit card,67.11,4677.79,Yes
CUST100208,Female,0,1,One year,DSL,Credit card,101.87,84.51,Yes
CUST100209,Male,1,68,Month-to-month,No,Credit card,32.46,2255.71,No
CUST100210,Male,0,12,Two year,Fiber optic,Credit card,105.77,1249.57,Yes
CUST100211,Male,0,60,Month-to-month,Fiber optic,Mailed check,109.75,6626.16,No
CUST100212,Male,0,27,Month-to-month,No,Mailed check,114.67,3097.6,No
CUST100213,Male,0,56,One year,DSL,Bank transfer,59.75,3391.7,Yes
CUST100214,Male,0,23,Month-to-month,Fiber optic,Bank transfer,41.71,961.52,No
CUST100215,Male,0,25,Month-to-month,DSL,Credit card,57.36,1459.8,Yes
CUST100216,Female,0,21,Month-to-month,DSL,Credit card,53.29,1104.69,Yes
CUST100217,Male,0,61,Two year,Fiber optic,Credit card,37.62,2291.78,No
CUST100218,Female,0,63,Month-to-month,Fiber optic,Bank transfer,80.73,5120.15,Yes
CUST100219,Male,0,52,Two year,Fiber optic,Credit card,67.66,3535.33,No
CUST100220,Male,1,25,Month-to-month,Fiber optic,Electronic check,106.57,2709.21,No
CUST100221,Male,0,55,One year,Fiber optic,Bank transfer,23.21,1286.56,Yes
CUST100222,Female,0,46,One year,DSL,Electronic check,84.39,3922.83,No
CUST100223,Female,1,32,Month-to-month,DSL,Credit card,96.29,3092.71,No
CUST100224,Female,0,55,Month-to-month,DSL,Mailed check,95.95,5325.8,No
CUST100225,Female,0,5,Month-to-month,DSL,Electronic check,108.61,590.24,No
CUST100226,Male,0,36,One year,Fiber optic,Bank transfer,92.9,3347.44,No
CUST100227,Female,0,49,Month-to-month,DSL,Electronic check,112.78,5568.23,Yes
CUST100228,Male,1,58,One year,DSL,Bank transfer,53.27,3128.99,No
CUST100229,Male,0,39,Month-to-month,Fiber optic,Credit card,70.32,2737.23,Yes
CUST100230,Female,1,61,Month-to-month,No,Electronic check,21.41,1329.71,Yes
CUST100231,Female,0,9,Month-to-month,DSL,Mailed check,20.7,171.39,No
CUST100232,Female,0,6,Month-to-month,DSL,Electronic check,44.01,302.63,Yes
CUST100233,Female,0,35,Month-to-month,Fiber optic,Mailed check,30.08,1045.02,No
CUST100234,Female,0,39,Two year,Fiber optic,Bank transfer,46.02,1779.74,Yes
CUST100235,Female,0,22,One year,Fiber optic,Credit card,37.7,837.42,No
CUST100236,Female,1,41,Month-to-month,Fiber optic,Credit card,22.85,957.23,Yes
CUST100237,Female,0,5,Two year,No,Mailed check,110.93,594.49,Yes
CUST100238,Male,1,42,One year,Fiber optic,Bank transfer,20.82,922.64,Yes
CUST100239,Female,0,67,Two year,Fiber optic,Credit card,93.61,6282.63,No
CUST100240,Female,1,30,Month-to-month,Fiber optic,Bank transfer,35.21,1040.53,Yes
CUST100241,Male,0,57,Month-to-month,DSL,Mailed check,111.22,6371.98,No
CUST100242,Female,0,29,Month-to-month,No,Mailed check,109.28,3188.68,Yes
CUST100243,Male,1,37,One year,Fiber optic,Electronic check,85.39,3170.78,Yes
CUST100244,Male,0,13,Month-to-month,DSL,Credit card,87.22,1135.51,Yes
CUST100245,Female,0,32,Month-to-month,Fiber optic,Credit card,20.53,672.13,Yes
CUST100246,Male,0,46,Month-to-month,DSL,Electronic check,118.49,5454.25,No
CUST100247,Male,0,23,Month-to-month,Fiber optic,Mailed check,107.78,2511.93,No
CUST100248,Male,1,45,One year,Fiber optic,Mailed check,109.51,4946.02,Yes
CUST100249,Male,0,17,Month-to-month,Fiber optic,Mailed check,85.92,1502.02,No
CUST100250,Female,0,66,Month-to-month,Fiber optic,Mailed check,54.48,3613.73,No
CUST100251,Male,0,6,One year,DSL,Bank transfer,109.36,652.84,Yes
CUST100252,Female,0,18,Two year,Fiber optic,Credit card,49.15,924.28,Yes
CUST100253,Male,0,22,One year,Fiber optic,Credit card,76.27,1696.95,No
CUST100254,Male,0,33,Two year,Fiber optic,Mailed check,29.97,983.49,Yes
CUST100255,Male,0,30,One year,Fiber optic,Mailed check,112.2,3389.65,Yes
CUST100256,Male,0,32,Month-to-month,Fiber optic,Mailed check,34.08,1095.6,Yes
CUST100257,Female,0,42,Month-to-month,Fiber optic,Credit card,42.49,1823.69,No
CUST100258,Female,0,10,One year,DSL,Credit card,75.81,769.83,Yes
CUST100259,Male,0,36,One year,No,Mailed check,96.41,3501.61,Yes
CUST100260,Male,0,34,One year,Fiber optic,Bank transfer,81.94,2772.65,Yes
CUST100261,Female,0,28,Month-to-month,Fiber optic,Electronic check,43.21,1217.6,Yes
CUST100262,Male,0,11,Month-to-month,DSL,Electronic check,20.09,269.82,Yes
CUST100263,Male,0,39,Month-to-month,DSL,Electronic check,95.72,3769.67,No
CUST100264,Male,0,47,Month-to-month,Fiber optic,Credit card,118.52,5561.64,Yes
CUST100265,Female,0,19,Month-to-month,No,Credit card,100.99,1918.25,No
CUST100266,Female,0,15,One year,Fiber optic,Electronic check,66.02,993.39,Yes
CUST100267,Female,0,28,Month-to-month,No,Electronic check,110.38,3116.17,No
CUST100268,Male,0,24,Month-to-month,Fiber optic,Bank transfer,60.98,1496.51,No
CUST100269,Male,0,72,Month-to-month,Fiber optic,Credit card,72.49,5251.75,Yes
CUST100270,Female,0,9,One year,DSL,Credit card,67.71,625.08,No
CUST100271,Female,1,47,Month-to-month,Fiber optic,Electronic check,64.76,3080.48,Yes
CUST100272,Female,0,33,Month-to-month,DSL,Bank transfer,97.52,3228.76,No
CUST100273,Female,0,62,Month-to-month,No,Bank transfer,72.68,4494.83,Yes
CUST100274,Male,0,19,Month-to-month,No,Electronic check,51.67,1001.24,No
CUST100275,Female,0,67,Two year,No,Electronic check,45.82,3116.6,No
CUST100276,Male,0,40,Two year,Fiber optic,Credit card,23.77,986.31,No
CUST100277,Female,1,47,Month-to-month,Fiber optic,Electronic check,78.32,3701.55,No
CUST100278,Male,0,65,Month-to-month,Fiber optic,Mailed check,43.0,2820.28,Yes
CUST100279,Female,0,29,One year,DSL,Bank transfer,34.81,1054.63,No
CUST100280,Female,0,50,Month-to-month,Fiber optic,Electronic check,85.38,4278.98,No
CUST100281,Female,0,13,Month-to-month,DSL,Mailed check,88.12,1148.76,No
CUST100282,Female,0,1,Month-to-month,Fiber optic,Bank transfer,95.22,143.63,Yes
CUST100283,Male,0,34,Two year,DSL,Mailed check,70.36,2432.68,No
CUST100284,Female,0,48,Month-to-month,DSL,Mailed check,109.41,5254.29,Yes
CUST100285,Male,0,48,Month-to-month,Fiber optic,Electronic check,113.63,5466.7,No
CUST100286,Male,0,49,One year,Fiber optic,Bank transfer,100.74,4945.32,Yes
CUST100287,Male,0,64,Month-to-month,Fiber optic,Mailed check,83.56,5338.28,Yes
CUST100288,Male,0,61,Month-to-month,DSL,Credit card,50.37,3119.62,No
CUST100289,Female,0,29,Two year,Fiber optic,Bank transfer,118.29,3438.71,Yes
CUST100290,Male,0,39,Month-to-month,DSL,Credit card,47.41,1890.26,No
CUST100291,Male,0,26,One year,Fiber optic,Electronic check,40.27,1040.27,No
CUST100292,Male,0,17,Month-to-month,Fiber optic,Credit card,64.22,1110.09,Yes
CUST100293,Female,0,71,Month-to-month,Fiber optic,Bank transfer,25.68,1804.96,Yes
CUST100294,Female,1,13,Month-to-month,Fiber optic,Mailed check,117.85,1565.55,No
CUST100295,Female,0,69,Month-to-month,DSL,Mailed check,78.84,5460.62,Yes
CUST100296,Female,0,26,Month-to-month,Fiber optic,Bank transfer,75.7,1991.99,No
CUST100297,Male,0,49,One year,Fiber optic,Mailed check,85.58,4177.04,No
CUST100298,Male,0,67,Month-to-month,Fiber optic,Credit card,69.7,4664.67,Yes
CUST100299,Female,0,7,Month-to-month,Fiber optic,Mailed check,23.21,147.67,Yes
CUST100300,Male,0,58,Month-to-month,DSL,Mailed check,81.23,4711.56,Yes
CUST100301,Male,1,49,One year,Fiber optic,Credit card,91.62,4513.3,No
CUST100302,Male,0,53,Month-to-month,Fiber optic,Credit card,61.67,3288.14,Yes
CUST100303,Female,0,65,Month-to-month,DSL,Credit card,95.73,6245.3,Yes
CUST100304,Female,0,62,Month-to-month,DSL,Electronic check,42.7,2665.85,No
CUST100305,Male,1,17,Month-to-month,DSL,Credit card,42.13,715.32,No
CUST100306,Female,0,43,Month-to-month,No,Credit card,36.14,1551.14,Yes
CUST100307,Female,1,25,One year,Fiber optic,Electronic check,57.2,1419.59,Yes
CUST100308,Female,0,3,Month-to-month,DSL,Mailed check,104.7,353.53,No
CUST100309,Female,1,29,Month-to-month,Fiber optic,Credit card,102.79,3004.06,No
CUST100310,Female,0,32,Month-to-month,Fiber optic,Bank transfer,58.28,1858.02,No
CUST100311,Male,1,26,One year,Fiber optic,Credit card,78.91,2044.06,No
CUST100312,Female,0,16,Month-to-month,DSL,Credit card,92.08,1514.39,No
CUST100313,Male,1,25,Month-to-month,DSL,Electronic check,44.12,1134.99,No
CUST100314,Male,0,54,Month-to-month,No,Bank transfer,36.81,2013.9,No
CUST100315,Female,0,28,Month-to-month,DSL,Mailed check,117.21,3290.36,No
CUST100316,Male,0,56,Month-to-month,DSL,Mailed check,81.76,4576.9,No
CUST100317,Male,0,65,Month-to-month,No,Bank transfer,118.14,7727.66,Yes
CUST100318,Male,0,41,Month-to-month,Fiber optic,Credit card,53.78,2240.79,Yes
CUST100319,Female,0,51,Month-to-month,DSL,Electronic check,90.3,4606.42,No
CUST100320,Female,0,71,Month-to-month,DSL,Bank transfer,42.26,3039.79,Yes
CUST100321,Male,0,29,Month-to-month,DSL,Bank transfer,46.12,1370.61,No
CUST100322,Female,1,19,Month-to-month,DSL,Mailed check,71.19,1353.41,Yes
CUST100323,Female,0,66,One year,No,Electronic check,51.96,3439.22,No
CUST100324,Female,1,41,Two year,Fiber optic,Bank transfer,36.76,1500.18,Yes
CUST100325,Female,0,45,Two year,Fiber optic,Electronic check,46.29,2070.82,No
CUST100326,Male,0,15,Two year,No,Credit card,23.57,384.14,No
CUST100327,Male,0,3,One year,Fiber optic,Mailed check,90.44,270.05,Yes
CUST100328,Female,0,11,One year,DSL,Credit card,69.21,798.71,No
CUST100329,Female,0,53,Month-to-month,Fiber optic,Electronic check,29.42,1608.95,Yes
CUST100330,Male,0,46,One year,No,Credit card,37.17,1695.18,Yes
CUST100331,Male,0,30,Month-to-month,Fiber optic,Mailed check,30.25,920.61,Yes
CUST100332,Female,0,57,Month-to-month,DSL,Electronic check,81.26,4667.96,Yes
CUST100333,Male,1,18,One year,Fiber optic,Bank transfer,29.42,564.79,No
CUST100334,Female,1,51,Month-to-month,Fiber optic,Credit card,95.43,4900.13,Yes
